Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1W 3Z9,55 to 64,Male,49.840604,-119.384903,Prospera Place,V1Y 9V1,49.892657,-119.496618,15.138
V1W 3Z9,55 to 64,Male,49.840604,-119.384903,Waterfront Park,V1Y 9R7,49.897295,-119.499295,15.493
V1W 3Z9,55 to 64,Male,49.840604,-119.384903,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,14.506
V4T 1N8,55 to 64,Female,49.83489403,-119.6281222,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,14.19
V4T 1N8,55 to 64,Female,49.83489403,-119.6281222,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,13.839
V4T 1N8,55 to 64,Female,49.83489403,-119.6281222,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,13.678
V4T 1N8,55 to 64,Female,49.83489403,-119.6281222,Kelowna City Park,V1Y 1B7,49.880541,-119.499303,13.173
V1Y 6Z7,45 to 54,Female,49.891715,-119.488333,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,0.899
V1Y 6Z7,45 to 54,Female,49.891715,-119.488333,Waterfront Park,V1Y 9R7,49.897295,-119.499295,1.203
V1Y 6Z7,45 to 54,Female,49.891715,-119.488333,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,0.947
V1Y 6Z7,45 to 54,Female,49.891715,-119.488333,Kelowna City Park,V1Y 1B7,49.880541,-119.499303,2.125
V1V 3B9,35 to 44,Female,49.90431,-119.453231,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.697
V1V 3B9,35 to 44,Female,49.90431,-119.453231,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,4.622
V1V 3B9,35 to 44,Female,49.90431,-119.453231,Prospera Place,V1Y 9V1,49.892657,-119.496618,4.243
V1V 1J1,45 to 54,Female,49.894717,-119.427982,,,,,
V1Y 5Y8,35 to 44,Male,49.880942,-119.492757,Prospera Place,V1Y 9V1,49.892657,-119.496618,1.51
V1Y 5Y8,35 to 44,Male,49.880942,-119.492757,Waterfront Park,V1Y 9R7,49.897295,-119.499295,2.725
V1Y 5Y8,35 to 44,Male,49.880942,-119.492757,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,1.05
V1Y 5Y8,35 to 44,Male,49.880942,-119.492757,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,0.95
V1W 2C7,65 and up,Female,49.875333,-119.441091,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,5.436
V1W 2C7,65 and up,Female,49.875333,-119.441091,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,6.227
V1Y 4X6,55 to 64,Female,49.860818,-119.475012,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.554
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Kelowna City Park,V1Y 1B7,49.880541,-119.499303,10.73
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,11.55
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Prospera Place,V1Y 9V1,49.892657,-119.496618,12.138
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,11.627
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Mission Creek Regional Park,V1X 7N7,49.877252,-119.439945,9.561
V1W 3A5,25 to 34,Female,49.813544,-119.457204,Father Pandosy Mission,V1W 4M7,49.847815,-119.468519,5.15
V1Y 3W3,45 to 54,Female,49.888668,-119.466798,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,2.714
V1Y 3W3,45 to 54,Female,49.888668,-119.466798,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,3.209
V1Y 3W3,45 to 54,Female,49.888668,-119.466798,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.876
V1Y 3W3,45 to 54,Female,49.888668,-119.466798,Waterfront Park,V1Y 9R7,49.897295,-119.499295,3.625
V1Y 3W3,45 to 54,Female,49.888668,-119.466798,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,2.762
